"filename", "language", "YAML", "JSON", "Dart", "Markdown", "Shell Script", "HTML", "Swift", "C++", "XML", "Properties", "Groovy", "comment", "blank", "total"
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\shipment\home\view_model\state\shipment_base_state.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\splash\view\mixin\splash_view_mixin.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 55
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\splash\view\splash_view.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\splash\view_model\splash_view_model.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 20
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\splash\view_model\state\splash_base_state.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\splash\view_model\state\splash_state.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\WORK\code\flutter\vibe\flutter_vss\lib\main.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\cache\core\cache_manager.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 18
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\cache\core\cache_manager_mixin.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 17
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\cache\core\cache_model.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\cache\core\cache_operation.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\cache\core\cache_register.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 36
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\cache\hive\hive_adapter_id.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\cache\hive\hive_cache_manager.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 85
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\cache\hive\hive_cache_operation.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 46
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\cache\product_cache.dart", "Dart", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 37
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\cache\shared\key\shared_keys.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\cache\shared\shared_cache_operation.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 43
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\decoration\product_textfield_decoration.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\environment\app_configuration.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\environment\dev_env.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 22
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\environment\dev_env.g.dart", "Dart", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 158
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\environment\prod_env.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 22
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\environment\prod_env.g.dart", "Dart", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 158
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\init\application_initialize.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 17, 15, 70
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\init\config\app_environment.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 49
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\init\state_initialize.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\init\theme\custom_dark_theme.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\init\theme\custom_light_theme.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\init\theme\custom_theme.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\init\theme\theme_color_scheme.dart", "Dart", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 106
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\navigation\app_router.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\navigation\app_router.gr.dart", "Dart", 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 23, 42, 264
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\barcode_service.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\interface\authentication_operation.dart", "Dart", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\interface\barcode_operation.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\interface\order_operation.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\interface\scan_operation.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\interface\wayybill_operation.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\login_service.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\manager\enums\http_header_enum.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\manager\enums\query_parameters_enum.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 11
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\manager\order\synchronize_cache_manager.dart", "Dart", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 18, 21, 122
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\manager\order\synchronize_cache_operation.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\manager\product_network_error_manager.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 17
